Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3550407;Interior;São Pedro;784;9;;
3550506;Interior;São Pedro do Turvo;153;1;;
3550605;Interior;São Roque;1076;25;;
3550704;Interior;São Sebastião;2038;42;;
3550803;Interior;São Sebastião da Grama;224;5;;
3550902;Interior;São Simão;211;6;;
3551009;Interior;São Vicente;8031;471;;
3551108;Interior;Sarapuí;24;1;;
3551207;Interior;Sarutaiá;64;3;;
3551306;Interior;Sebastianópolis do Sul;71;0;;
3551405;Interior;Serra Azul;731;4;;
3551504;Interior;Serrana;1203;47;;
3551603;Interior;Serra Negra;272;2;;
3551702;Interior;Sertãozinho;5051;123;;
3551801;Interior;Sete Barras;483;9;;
3551900;Interior;Severínia;780;19;;
3552007;Interior;Silveiras;44;1;;
3552106;Interior;Socorro;678;12;;
3552205;Interior;Sorocaba;19083;481;;
3552304;Interior;Sud Mennucci;271;1;;
3552403;Interior;Sumaré;7118;230;;
3552502;RMSP (exceto capital);Suzano;6074;252;;
3552551;Interior;Suzanápolis;137;2;;
3552601;Interior;Tabapuã;445;15;;
3552700;Interior;Tabatinga;380;13;;
3552809;RMSP (exceto capital);Taboão da Serra;8855;307;;
3552908;Interior;Taciba;116;2;;
3553005;Interior;Taguaí;344;3;;
3553104;Interior;Taiaçu;207;1;;
3553203;Interior;Taiúva;304;3;;
3553302;Interior;Tambaú;490;11;;
3553401;Interior;Tanabi;1424;29;;
3553500;Interior;Tapiraí;169;3;;
3553609;Interior;Tapiratiba;220;1;;
3553658;Interior;Taquaral;101;2;;
3553708;Interior;Taquaritinga;1296;45;;
3553807;Interior;Taquarituba;506;8;;
3553856;Interior;Taquarivaí;60;2;;
3553906;Interior;Tarabai;223;6;;
3553955;Interior;Tarumã;310;6;;
3554003;Interior;Tatuí;3144;84;;
3554102;Interior;Taubaté;6536;176;;
3554201;Interior;Tejupá;28;0;;
3554300;Interior;Teodoro Sampaio;403;7;;
3554409;Interior;Terra Roxa;302;6;;
3554508;Interior;Tietê;725;25;;
3554607;Interior;Timburi;22;2;;
3554656;Interior;Torre de Pedra;22;2;;
3554706;Interior;Torrinha;183;6;;
3554755;Interior;Trabiju;27;0;;
3554805;Interior;Tremembé;532;3;;
3554904;Interior;Três Fronteiras;267;9;;
3554953;Interior;Tuiuti;65;1;;
3555000;Interior;Tupã;1084;44;;
